Movie,RottenTomatoesScore,ReleaseDate,CreativeType,DistributedBy,StorySource,Budget,BoxOfficeGross,OpeningWeekendGross,Genre,MPAA,RunTime,NumberScreensOpeningWeekend,GrossperScreenOpenWeekend,IMDB score,AcademyAwardNominations,GoogleHitsOfDirector,Rank
The Chronicles of Narnia: Prince Caspian,66,5/16/2008,Fantasy,Buena Vista,Based on Book/Short Story,225000000,141621490,55034805,Adventure,PG,150,3929,14007,6.9,2,709000,14
The Counterfeiters,94,NA,NA,NA,NA,6340000,5488570,NA,Drama,R,98,8,10939,7.7,0,308000,185
The Curious Case of Benjamin Button,71,12/25/2008,Fantasy,Paramount,Based on Book/Short Story,150000000,127506326,26853816,Drama,PG-13,166,2988,8987,8.1,9,317000,38
The Dark Knight,94,7/18/2008,Superhero,Warner Bros.,Sequel,185000000,533316061,159411483,Action,PG-13,152,4366,36283,8.9,13,286000,1
The Day the Earth Stood Still,21,12/12/2008,Science Fiction,"FOX – Distributor, Production Company",Remake,80000000,79366978,30480153,Adventure,PG-13,104,3560,8562,5.6,4,160000,42
The Diving Bell and the Butterfly,93,NA,NA,NA,NA,14000000,5107379,NA,Drama,PG-13,112,3,25240,8.1,1,454400,188
The Duchess,61,9/19/2008,Dramatization,Paramount,Based on Book/Short Story,NA,13823741,190426,Drama,PG-13,110,7,27204,7,3,77700,135
The Express,62,10/4/2008,Dramatization,Universal – Distributor,Based on Book/Short Story,40000000,9589875,4562675,Drama,PG,130,2808,1625,7.1,1,109000,158
The Eye,22,2/1/2008,Fantasy,Lionsqate,Remake,12000000,31418697,12425776,Thriller/Suspense,PG-13,98,2436,5101,5.3,0,78500,96
The Family That Preys,53,1/13/2008,Contemporary Fiction,Lionsqate,Original Screenplay,NA,36405889,17381218,Comedy,PG-13,111,2070,8397,3.5,5,9300000,83
The Forbidden Kingdom,64,4/18/2008,Fantasy,Lionsqate,Based on Book/Short Story,55000000,52040293,21401121,Action,PG-13,113,3151,6792,6.8,0,1420000,58
The Great Debaters,79,12/25/2007,Dramatization,Weinstein Co.,Based on Real life Events,15000000,30226144,9184022,Drama,PG-13,126,1171,7843,7.6,6,531000,137
The Happening,18,6/13/2008,Science Fiction,"FOX – Distributor, Production Company",Original Screenplay,60000000,64506874,30517109,Thriller/Suspense,R,91,2986,10220,5.2,1,267000,48
The Haunting of Molly Hartley,3,10/31/2008,Fantasy,Freestyle Releasing,Original Screenplay,5000000,13350177,5423315,Thriller/Suspense,PG-13,82,2652,2045,3.6,0,20000,138
The House Bunny,39,8/22/2008,Contemporary Fiction,Columbia Pictures,Original Screenplay,NA,48237389,16036,Comedy,PG-13,97,2714,3750,5.6,0,132000,60
The Incredible Hulk,66,6/13/2008,Superhero,Universal – Distributor,Sequel,150000000,134518390,55414050,Adventure,PG-13,112,3505,15810,7.2,9,272000,15
The Kite Runner,66,12/14/2007,Contemporary Fiction,Paramount Vantage,Based on Book/Short Story,20000000,15797907,471713,Drama,PG-13,128,35,13478,7.8,0,1240000,162
The Longshots,40,8/22/2008,Dramatization,MGM,Based on Real life Events,23000000,11508423,13215,Drama,PG,94,2089,1953,3.4,0,316000,147
The Love Guru,14,6/20/2008,Contemporary Fiction,Paramount,Original Screenplay,62000000,32235793,13907130,Comedy,PG-13,87,3012,4617,3.9,4,44600,92
The Mummy: Tomb of the Dragon Emperor,13,8/1/2008,Fantasy,"Universal – Distributor, Production Company",Sequel,145000000,102491776,40457770,Adventure,PG-13,112,3760,10760,5.2,0,811000,22
The Orphanage,86,NA,NA,NA,NA,NA,6821123,NA,Horror,R,105,19,12280,7.7,0,875000,175
The Other Boleyn Girl,41,2/29/2008,Historical Fiction,Columbia Pictures,Based on Book/Short Story,35000000,26814957,8203061,Drama,PG-13,115,1166,7035,6.7,2,171000,106
The Pineapple Express,68,8/6/2008,Contemporary Fiction,Sony Pictures,Original Screenplay,27000000,87341380,23245025,Comedy,R,111,3072,7567,7.2,1,159000,31
The Pirates Who Don't Do Anything: A VeggieTales Movie,43,1/11/2008,Kids Fiction,"Universal – Distributor, Production Company",Spin-Off,NA,12701880,4251320,Comedy,G,85,1337,4251320,5.2,0,51200,141
The Reader,62,12/10/2008,Contemporary Fiction,Weinstein Co.,Based on Book/Short Story,32000000,34194407,2380376,Drama,R,124,8,21006,7.7,8,1300000,205
The Rocker,39,8/20/2008,Contemporary Fiction,FOX – Distributor,Original Screenplay,15000000,6409528,4861,Comedy,PG-13,102,2784,947,6.3,0,75700,178
The Ruins,46,4/4/2008,Contemporary Fiction,Paramount,Based on Book/Short Story ,8000000,17427926,8003241,Horror,R,90,2812,2846,6,0,181000,127
The Savages,89,11/28/2007,Contemporary Fiction,Fox Searchlight,Original Screenplay,NA,6610326,151859,Drama,R,113,4,37965,7.4,6,115000,192
The Secret Life of Bees,58,10/17/2008,Historical Fiction,FOX – Distributor,Based on Book/Short Story,11000000,37766350,10527799,Drama,PG-13,114,1,10527799,7.1,3,56200,82
The Sisterhood of the Traveling Pants 2,64,8/6/2008,Contemporary Fiction,Warner Bros.,Sequel,NA,44087387,10678430,Adventure,PG-13,117,2707,3945,6.2,1,51100,65
The Spiderwick Chronicles,79,2/14/2008,Fantasy,Paramount,Based on Book/Short Story,90000000,71148699,24740537,Adventure,PG,96,3847,6431,6.8,3,555000,44
The Spirit,15,12/25/2008,Superhero,Lionsqate,Based on Based on Comic Graphic Novel,NA,19781879,6463278,Action,PG-13,103,2509,2576,5,1,356000,125
The Strangers,44,5/30/2008,Contemporary Fiction,Universal – Distributor,Original Screenplay,10000000,52534295,20997985,Thriller/Suspense,R,86,2466,8515,6.1,0,56600,57
The Tale of Despereaux,55,12/19/2008,Kids Fiction,"Universal – Distributor, Production Company",Based on Book/Short Story,NA,50818750,10103675,Adventure,G,93,2758,3663,6.1,14,107000,68
The Visitor,90,4/11/2008,Contemporary Fiction,Overture Films,Original Screenplay,NA,9422422,86488,Comedy,PG-13,104,4,21622,7.9,1,331000,161
The Water Horse: Legend of the Deep,73,12/25/2007,Fantasy,Sony Pictures,Traditional/Legen/Fairytale,45000000,40412817,14070469,Drama,PG,112,2772,5076,6.6,2,231000,123
The Women,13,9/12/2008,Contemporary Fiction,Picturehouse,Original Screenplay,16500000,26902075,10115121,Comedy,PG-13,114,2962,3415,4.7,7,79400,104
The X-Files: I Want to Believe,32,7/25/2008,Science Fiction,20th Century Fox,Sequel,30000000,20981633,10021753,Action,PG-13,104,3185,3147,5.9,0,172000,118
Then She Found Me,51,4/25/2008,Contemporary Fiction,ThinkFilm,Original Screenplay,3500000,3735717,72594,Romantic Comedy,R,100,9,8066,6.1,3,331000,202
There Will Be Blood,91,12/26/2007,Historical Fiction,Paramount Vantage,Based on Drama,25000000,40218903,302845,Drama,R,158,2,151423,8.2,4,154000,75
Traitor,61,8/27/2008,Contemporary Fiction,Overture Films,Original Screenplay,22000000,23530831,10006327,Thriller/Suspense,PG-13,114,2054,4872,7.1,1,57700,114
Transporter 3,38,11/26/2008,Contemporary Fiction,Lionsqate,Se+F189:H192quel,40000000,31316973,12063452,Action,PG-13,104,2626,4594,5.9,0,86300,93
Tropic Thunder,82,8/13/2008,Contemporary Fiction,Paramount,Original Screenplay,92000000,110416702,25812796,Comedy,R,107,3319,7777,7.2,11,2220000,19
Twilight,49,11/21/2008,Fantasy,Summit Entertainment,Based on Book/Short Story,37000000,191465414,69637740,Drama,PG-13,122,3419,20368,5.9,0,262000,8
U2 3D,92,1/23/2008,Factual,National Geographic Entertainment,Based on Real life Events,NA,10290362,964315,Concert/Performance,G,85,61,15808,8.4,0,79850,159
Under the Same Moon,73,NA,NA,NA,NA,NA,12589108,2770000,Drama,PG-13,106,266,10413,7.5,0,24100,142
Untraceable,14,1/25/2008,Contemporary Fiction,Sony/Screen Gems,Original Screenplay,35000000,28687835,11354069,Thriller/Suspense,R,101,2316,4902,6.1,1,399000,102
Valkyrie,61,12/25/2008,Dramatization,United Artists,Based on Real life Events,75000000,83077833,21027007,Thriller/Suspense,PG-13,121,2711,7756,7.3,7,280000,51
Vantage Point,35,2/22/2008,Contemporary Fiction,Sony Pictures,Original Screenplay,40000000,72266306,22874936,Thriller/Suspense,PG-13,90,3149,7264,6.7,8,95900,43
Vicky Cristina Barcelona,82,8/15/2008,Contemporary Fiction,MGM,Original Screenplay,15500000,23213577,3755575,Comedy,PG-13,96,692,5427,7.4,5,4400000,115
W.,60,10/17/2008,Dramatization,Lionsqate,Based on Real life Events,25100000,25534493,10505668,Drama,PG-13,129,2,5252834,6.6,4,631000,111
Walk Hard: The Dewey Cox Story,74,12/21/2007,Historical Fiction,Sony Pictures,Original Screenplay,35000000,18317151,6257174,Comedy,R,96,2650,1575,6.8,1,69700,198
WALL-E,96,6/27/2008,Kids Fiction,Buena Vista,Original Screenplay,180000000,223808164,63087526,Comedy,G,98,3992,15803,8.6,3,1050000,5
Welcome Home Roscoe Jenkins,24,2/8/2008,Contemporary Fiction,Universal,Original Screenplay,27500000,42436517,16207730,Comedy,PG-13,114,2387,6790,4.4,3,4770000,70
What Happens in Vegas...,28,5/3/2008,Contemporary Fiction,20th Century Fox,Original Screenplay,35000000,80276912,20172474,Romantic Comedy,PG-13,99,3215,6274,5.9,1,127000,34
Witless Protection,0,2/22/2008,Contemporary Fiction,Lionsqate,Original Screenplay,7500000,4131640,2116692,Comedy,PG-13,97,1333,1588,2.5,0,24400,197
Yes Man,43,12/19/2008,Contemporary Fiction,Warner Bros.,Based on Book/Short Story,70000000,97690976,18262471,Comedy,PG-13,104,3434,5318,7,1,178000,37
You Don't Mess With the Zohan,36,6/6/2008,Contemporary Fiction,Columbia Pictures,Original Screenplay,90000000,100018837,38531374,Comedy,PG-13,113,3462,11130,5.7,0,516000,26
Young @ Heart,88,4/9/2008,Factual,Fox Searchlight,Based on Real life Events,NA,3964040,50937,Documentary,PG,107,4,12734,7.9,0,111100,200
Zack and Miri Make a Porno,65,10/31/2008,Contemporary Fiction,Weinstein Co.,Original Screenplay,24000000,31457946,10065630,Comedy,R,101,2735,3680,7.1,0,703000,98
